"title","distinct_revisions"
"The Lion King",24
"Luther Burbank",24
"Avatar: The Last Airbender",24
"Freak the Sheep Vol. 2",24
"Heroes of Wrestling",23
"Lady",24
"New York State Route 345",24
"Universe of Kingdom Hearts",24
"Helpless Automaton",16
"Samuel G. Arnold",24
"Dawson Creek",24
"David Leakey",24
"Silvia Farina Elia",22
"Nostradamus",24
"Great American Boycott",24
"A Rush of Blood to the Head",24
"First Macedonian War",24
"Polysynthetic language",23
"Janice Moodie",22
"Samuel Ullman",24
"Perinatal Group B Streptococcal Disease",23
"Arch form",24
"Homer Jacobson",15
"Robert Baden-Powell, 1st Baron Baden-Powell",24
"Wii",24
"BAFTA Award for Best Film",24
"IK Pegasi",24
"Mike Gartner",24
"Belly dance",24
"Coconut water",24
"Fox Ridge State Park",21
"Italian Renaissance",24
"London Underground",24
"History of Doctor Who",24
"Brescia",24
"CXCR4",22
"Gongsun Long",21
"Mohamed Salah El-Din",20
"Canada-United States relations",10
"The Wild Chase",22
"Devin Hester",24
"New Plymouth Express",23
"Sydney Riot of 1879",24
"Ring (mathematics)",24
"Helmut Dietl",21
"File Allocation Table",24
"Otsego County, New York",24
"Clapboard (architecture)",19
"O-Bahn Busway",24
"George Schaller",24
"Jackie Chan",24
"The Church of Jesus Christ of Latter-day Saints",24
"Battle of Gangut",23
"Cobra probe",21
"Fundamental (Pet Shop Boys album)",24
"Surtsey",24
"M-169 (Michigan highway)",17
"Olive",24
"Joe Mauer",24
"Tenacious D",24
"Development of Windows Vista",24
"Chagas disease",24
"Orchestra of the City",23
"Steatoda",24
"Octopus card",24
"Matthew Brettingham",24
"Lismore, New South Wales",24
"Emperor Guangwu of Han",24
"Replicator equation",23
"Ngurah Rai Stadium",14
"Charles Paget (conspirator)",20
"Apneustic center",24
"The Simpsons Movie",24
"Candice Michelle",24
"These Days: Live in Concert",24
"Islamic astronomy",5
"Alvord Independent School District",23
"Uranus",24
"Windows XP",24
"James K. Polk",24
"Battle of Uhud",24
"Pound sterling",24
"Hurricane Bob (1985)",24
"Sally Eaton",24
"Radium",24
"Tropical Storm Vamei",21
"Subtitle (captioning)",3
"Presbyterian Ladies' College, Sydney",24
"Orange County Fire Authority",24
"Evangelical Seminaries of Maulbronn and Blaubeuren",24
"Diary of a Camper",24
"Kosovo",24
"Sukhoi Su-25",24
"Homeopathy",24
"Jever",22
"Casey Sheehan",24
"Robot Building",14
"Carroll John Daly",20
"New York State Route 23",24
"Harry Galbreath",22
"Omphalotus nidiformis",21
"Digital terrestrial television in Australia",24
"Marmais",22
"Casino Royale (2006 film)",24
"Delia Bisutti",24
"Edmund Ignatius Rice",24
"Californication (album)",24
"Bemis Manufacturing Company",15
"Behaalotecha",24
"Roman Vishniac",24
"Talbot Samba",24
"TVR Cerbera Speed 12",24
"300 (film)",24
"Patellar Tendon Rupture",10
"Interstate 35E (Minnesota)",24
"Nottingham Panthers",24
"Chang (surname)",24
"Basiliscus",24
"Banksia kippistiana",22
"Flag of New Zealand",24
"The Rape of Nanking (book)",24
"Santa Clara, Cuba",24
"McDonald Bridge (Saskatoon)",4
"Carnian",24
"Elmo Smith",22
"Hayley Westenra",24
"Nauru",24
"Abbotsford-Mount Lehman",16
"European Commission",24
"Acute myeloid leukemia",24
"Rugby league in England",24
"Rudelsburg",20
"Meteorological history of Hurricane Wilma",23
"Amarillo, Texas",24
"Bloch wave",24
"Charles Samuel Joelson",24
"Kenji Harima",24
"British Isles (terminology)",9
"Tourist trap",24
"Hurricane Florence (1988)",23
"Dog Day Afternoon",24
"Ernie Toshack",23
"Asterby",24
"Tindale Crescent",14
"Historic Michigan Boulevard District",20
"Nikolai Ogarkov",22
"Battleship",24
"Battle of Corregidor",24
"Jason Voorhees",24
"Tropical Storm Jose (2005)",24
"Rollinia amazonica",17
"Atomic line filter",24
"Maniots",24
"The Simpsons (season 6)",24
"Battle of Farrukhabad",23
"Lalor Park, New South Wales",24
"Cowper Phipps Coles",23
"Amauti",23
"Arbutus Grove Provincial Park",6
"Frank Skinner",24
"Mihail Lascăr",23
"Interaction",24
"Crossothamnus",18
"Nine Inch Nails",24
"Adrian Conan Doyle",19
"Ulf Lundkvist",22
"Syntax highlighting",24
"Lewis Hamilton",24
"Michigan State University Housing",21
"Crawley",24
"Benjamin F. H. Witherell",18
"Heracles",24
"Edward Bridges, 1st Baron Bridges",22
"Ashford Green Corridor",20
"Dragonfly",24
"Elizabeth Cady Stanton",24
"Space Hulk (computer game)",7
"Tropical Storm Franklin (2005)",24
"John Mayer",24
"High Class in Borrowed Shoes",17
"General Motors",24
"Belarus",24
"Channel M",24
"Royal Gloucestershire, Berkshire and Wiltshire Regiment",24
"Company K",24
"Pasta",24
"Drum and bass",24
"Michaelmas and Upolu Cays National Park",4
"Battle of Anchialus",23
"South Africa",24
"Emilio Menéndez",5
"South Tyneside",24
"Cesar Fawcett",18
"4th Light Armored Reconnaissance Battalion",21
"Flag of Lithuania",24
"Typhoon Paka",23
"St Kilda, South Australia",24
"Century break",23
"Kalach-na-Donu",24
"1933 in New Zealand",24
"Krystian Godfryd Deybel de Hammerau",21
"Eilmer of Malmesbury",24
"Bob McEwen",24
"St. Francis Xavier High School (Sumter, South Carolina)",20
"Hurricane Nate (2005)",24
"Mechatronics",24
"Operation Passage to Freedom",19
"Duluth Township, Minnesota",5
"Brothers to the Rescue",24
"Wild Arms",24
"Steve James (producer)",20
"Wexford Park",24
"Lethal Enforcers",24
"Hisashi Igawa",20
"IFK Göteborg",24
"Monarch butterfly",24
"Cribbs Causeway",20
"2007 NFL Draft",24
"Bruno Vattovaz",14
"History of Colonial Hong Kong (1800s - 1930s)",5
"Ted Jolliffe",23
"Second Battle of Kharkov",24
"Instrument flight rules",24
"Yosemite National Park",24
"Flathead County, Montana",24
"Copper(II) acetate",24
"Kiraoli",24
"Economic torts",22
"Shadow of the Colossus",24
"Flag of Hong Kong",24
"Detailed walk through the codecision procedure",17
"Moondyne Joe",23
"Ir Ovot",21
"Greg F. Gifune",17
"Talbot Tagora",23
"Ailill Inbanda",13
"Orange (colour)",24
"History of science in the Renaissance",24
"Gibson, Georgia",24
"Definition of planet",24
"Cumacea",20
"Blue Wing Blitz",18
"Rollerball (1975 film)",24
"Lawrence Dale Bell",24
"Presidio of Santa Barbara",23
"Ipswich Town F.C.",24
"Issy Smith",24
"Cystic fibrosis",24
"Kevin Spacey",24
"The Chaser APEC pranks",14
"Something Up There Likes Me",18
"John Seigenthaler, Sr.",2
"Jamia Hamdard",21
"Ars moriendi",24
"Sulfuric acid",24
"Jay Pritzker Pavilion",16
"Roger Crozier Saving Grace Award",22
"El Al",24
"Austin Montego",24
"Capital Area Transportation Authority",24
"Glenrothes",24
"Tannehill Ironworks",24
"Sandy Lick Creek",3
"Min-nyi Min-tha",22
"Economy of Canada",24
"Hornet",23
"Arsenal F.C.",24
"Siege of Kiso Fukushima",16
"Rock and Roll (dance)",24
"Vkhutemas",23
"Michael Weiss (figure skater)",24
"Beyond Fantasy Fiction",24
"Gravitational lens",24
"American football",24
"Blue Network",24
"2003 NFL Draft",24
"Michael Gaul",21
"Timmy the Turtle",24
"Black pepper",24
"Claude Autant-Lara",23
"Fort Queenscliff",22
"Rhodium(III) chloride",23
"Asbjørn Listerud",13
"Malavan F.C.",24
"Dubstep",24
"55 Cancri e",24
"Cutting Boulevard",24
"Bo Christensen",21
"Transient lunar phenomenon",24
"In Desert and Wilderness",22
"Nuclear fusion",24
"Jim Brewer",22
"Ewart Brown",24
"Fantasy (Mariah Carey song)",24
"Kawasaki Heavy Industries C151 cars",2
"Sex Pistols",24
"Schizophrenia",24
"Thomas C. Hindman",23
"Platelet",24
"Saskatoon Sheiks",21
"Sociolinguistics research in India",23
"Hurricane Katrina",24
"Green Party of Canada",24
"Computer Memories Inc.",24
"Billy Kirkwood",23
"Harold and Inge Marcus Department of Industrial and Manufacturing Engineering",24
"Weather with You",18
"Lord of the Universe (documentary)",9
"Notostraca",24
"Joel Pettersson",22
"Thomas Jefferson",24
"Amedeo Avogadro",24
"Ed Schultz",24
"Timeline of Macintosh models",24
"Jason Varitek",24
"Princess Augusta Sophia of the United Kingdom",21
"Charlie and GyroMan",21
"USS Grosbeak (SP-566)",16
"Central Province (Papua New Guinea)",22
"Bulletin of the Chemical Society of Japan",24
"Sangokushi Online",24
"Flag of Denmark",24
"Trilobite",24
"Adam Baynes",24
"Jay Greene",24
"East End of London",24
"Aluminium chloride",24
"George Stoneman",24
"Dying Fetus",24
"Blitzkrieg",24
"Yoweri Museveni",24
"All Blacks versus France at rugby union",7
"Robert College",24
"Samuel L. Jackson",24
"Canon T90",24
"Parineeta (2005 film)",24
"Casablanca (film)",24
"City of Nedlands",24
"Dominik Hašek",24
"Evacuation of East Prussia",24
"Henry Cantrell",18
"Witold Lutosławski",24
"Stylidium",24
"Martinton Township, Iroquois County, Illinois",22
"Funeral of Pope John Paul II",24
"Pleasantville (film)",24
"Jean Balukas",24
"World of Warcraft",24
"Battle of Jilib",24
"Chiton (costume)",24
"Bruce Edward Johnson",8
"Cataloochee (Great Smoky Mountains)",16
"Azulejo",24
"Canada",24
"Fortitudo Cosenza",3
"Phoenix Zoo",24
"William W. Powers State Recreation Area",20
"All the Filth!",24
"Motohashi Seiichi",8
"Music history of the United States",23
"Constantine II of Scotland",23
"2004 NFL Draft",24
"Angkor Wat",24
"90th Infantry Division (United States)",24
"Windows 2000",24
"Fort Runyon",16
"Emil Haury",24
"Beall Woods State Park",22
"Kyle Abbot",24
"Charles Pahud de Mortanges",19
"Music of Italy",24
"Brigadeiro",23
"Madeira",24
"Margarita",24
"Bank of China (Hong Kong)",24
"Orion Nebula",24
"Adtwifyrdi",22
"Thiruvananthapuram",24
"Caravan of Courage: An Ewok Adventure",23
"Phil Riley",22
"Hurricane Isis (1998)",24
"Globular cluster",24
"Empire Earth",24
"Comedian",24
"Sarah Trimmer",24
"Housefly",24
"Chaco Culture National Historical Park",24
"Dainis Kūla",18
"Burger King",24
"Mater Dei Catholic College",23
"Mark Messier Leadership Award",22
"Finnish Evangelical Lutheran Church of America",21
"Param Vir Chakra",24
"Low-energy electron diffraction",24
"Galactic Republic",24
"Smolensk War",24
"Weapon dance",24
"Film colorization",24
"Shark",24
"Ortovero",19
"Circle",24
"Light Tank Mk VI",24
"The Cat's Meow",23
"Ammonia",24
"Rapping",24
"La Feria North, Texas",21
"Ed Schieffelin",23
"Murder of Sarah Payne",24
"Konnan",24
"Swiftfox",24
"Ban Ki-moon",24
"Tamil language",24
"Ficus hirsuta",17
"1954 Central American and Caribbean Games",22
"Uncle Tom's Cabin",24
"Henry H. Schwartz",18
"South Woodford",24
"Jesus",24
"Alex Curran",21
"History of the Colombian National Police",24
"Adam Kubert",24
"Fire Emblem: Path of Radiance",24
"Vijayanagara Empire",24
"Jean-Baptiste Élie de Beaumont",21
"Victoria Cross for New Zealand",22
"Empedocles",24
"Professor Longhair",24
"Operation Downfall",24
"Scott Special",22
"Apollo Junior High School",22
"Idiom Neutral",23
"Abyssinia, Henry",24
"Jacob Bauthumley",18
"Sophia Danenberg",22
"Alexander Turney Stewart",24
"Hayward Fault Zone",24
"Melbourne Storm",24
"Stanisław Lem",24
"37 mm Gun M3",24
"Iron Horse State Park",24
"EMD NW3",18
"Harness Racing Museum &amp; Hall of Fame",19
"Bruce Flegg",24
"Cities of the Philippines",24
"Tropical cyclone forecasting",21
"Edge of Darkness",24
"Boston College Eagles football",17
"Saudi Arabia",24
"Tiger shark",24
"Jerson Ravelo",24
"I Take Thee Quagmire",24
"Jacqueline Barton",24
"Hamlet chicken processing plant fire",24
"Omar Khadr",24
"Number",24
"Wamsutta",24
"Masaji Iguro",22
"Interstate H-201",24
"Toga",24
"Tropical Storm Bonnie (2004)",24
"Calgary Flames",24
"Copepod",24
"Lawyer",24
"Berbice River",23
"Projection screen",24
"Dachau concentration camp",24
"BBC UK regional tv on satellite",12
"Ferdinand Tönnies",24
"Olivier Messiaen",24
"Verbascum thapsus",24
"Flinders Petrie",24
"Benjamin of Tudela",24
"Scotch College, Perth",24
"California Southern Railroad",24
"African Union",24
"The Last Dangerous Visions",24
"The Pit and the Pendulum (1961 film)",24
"RKO Pictures",24
"R. Madhavan",24
"Lumbee",24
"Helium",24
"Kim Possible",24
"Ethylene",24
"Studio system",24
"The Illuminatus! Trilogy",24
"TCF Bank Stadium",24
"Asthma",24
"United States Bill of Rights",24
"Finnish language",24
"15th Marine Expeditionary Unit",24
"W. T. Cosgrave",24
"General relativity",24
"Thomas Lee (Virginia colonist)",24
"Diaper",24
"Jane Eyre (1996 film)",23
"Tengu",24
"Sudbury, Derbyshire",24
"Isaac Newton",24
"Kate Vernon",24
"Budi Lake",23
"Gay bathhouse",24
"Sesame Street",24
"Jenna Jameson",24
"National Gallery, London",7
"Education in England",24
"Scottish clan",24
"Parasaurolophus",24
"Senet",24
"Emanuel Swedenborg",24
"Accountancy",16
"John W. Stevenson",24
"Athens Lunatic Asylum",24
"Philippe Henri, Comte de Grimoard",15
"Geography of the Yukon",4
"Where We Land",18
"Kitzmiller v. Dover Area School District",24
"Wen Tianxiang",23
"Ahmose I",24
"Richard Bassett",13
"Brian Wilson (poker player)",22
"Byzantine-Seljuk wars",5
"Baden-Powell House",24
"British Rail Class 97",23
"Caseolus commixtus",17
"Cumbres and Toltec Scenic Railroad",23
"Transhumanism",24
"Oregon wine",23
"Ben Darwin",19
"The Economist",24
"Barbara Windsor",24
"Sir Boyle Roche, 1st Baronet",4
"OPN1MW",13
"California State Route 178",24
"ROF Elstow",21
"League of Nations",24
"Bangladesh",24
"Auguste Rodin",24
"Goldfinger (film)",24
"Romaine Brooks",24
"55th Wing",24
"Military history of Cuba",21
"École Polytechnique massacre",24
"Kentucky coffeetree",24
"West Virginia University",24
"14th Armored Division (United States)",23
"Guadalupe-Nipomo Dunes",20
"Aphid",24
"Superconductivity",24
"Yeti (comics)",23
"Golden Gospels of Henry III",16
"Carnivàle",24
"Foster City, California",24
"Ladder match",24
"A. D. Patel",23
"Corné Krige",23
"Avia BH-6",20
"X-FEN",23
"House of Federation",19
"Johannes Kepler",24
"Amilcar CGSS",24
"Checkerboarding (beekeeping)",22
"Orto botanico di Palermo",23
"Compact Muon Solenoid",24
"Oregon Outback",22
"Kaziranga National Park",24
"2005 NFL Draft",24
"Francesco Lamperti",22
"Hurricane Keith",24
"James Bond",24
"HMAS Pirie (J189)",24
"Dao Xin",10
"Little Saigon",24
"Gene Rayburn",24
"Aruna Irani",24
"Happy Chandler",24
"Jackie Ormes",23
"The Hobbit",24
"USS Illinois (BB-65)",24
"George Mason Lovering",24
"Valiant Comics",24
"Methodius of Olympus",24
"Rainbow flag",24
"Lithium aluminium hydride",24
"Hey Baby (No Doubt song)",24
"Avachinsky",22
"Fighting in ice hockey",24
"Go-Back-N ARQ",23
"Mantis shrimp",24
"Panavision",24
"Pericles",24
"Josie and the Pussycats (TV series)",24
"Soft tyranny",23
"Iris versicolor",24
"Lasnamäe",20
"Vermont",24
"Battle of Greece",24
"Kyle Baker",24
"Aztec codices",24
"Maverick (book)",24
"Clan Fraser",24
"Bill Johnston (cricketer)",20
"Claudius",24
"Aggression",24
"2004 Atlantic hurricane season",24
"Union Army Balloon Corps",24
"Carnivorous plant",24
"History of United States cricket",24
"Frank J. Selke Trophy",23
"Gregory House",24
"Brunswick Street railway station, Brisbane",3
"Ghost town",24
"Grand Duchess Maria Nikolaevna of Russia",10
"...In Your Eyes",19
"IWGP World Tag Team Championship",11
"Erg (landform)",24
"Canadian Academy of Endodontics",19
"Carolyn Jenkins",21
"Cello",24
"Nathu La",24
"Otto von Bismarck",24
"Mass of Paul VI",24
"D. G. Champernowne",22
"Green Wing",24
"Ontario",24
"PWE3",15
"Michael Henderson",23
"Changi Murals",20
"Power: A New Social Analysis",24
"Tick",24
"United Malays National Organisation",24
"Lethbridge",24
"Alameda County Water District",16
"Lenny Montana",24
"Affluence in the United States",24
"Jordan",24
"Doris Packer",20
"Copyright infringement",24
"Bruce Willis",24
"QCD matter",24
"2006 Chick-fil-A Bowl",15
"Resident Evil: Apocalypse",24
"Hydrochloric acid",24
"Bay Point, California",23
"Borský Mikuláš",23
"Karben",23
"Teresa Carpio",24
"Daitya",24
"Chester Thompson",24
"Portuguese grammar",24
"Tet Offensive",24
"Tennessee Public Service Commission",24
"Material properties of diamond",24
"The Relapse",24
"The Orb",24
"Lost in Time (video game)",24
"Cinerama",24
"Taunton, Massachusetts",24
"Don Collins",19
"Institutions of the European Union",23
"Éomund",24
"Norte Chico civilization",24
"Heale's Lock",22
"Robert J. Wood",16
"Epiphyllum pumilum",14
"Johnstown Flood",24
"Cameron McIntyre (rugby player)",8
"B movies (Hollywood Golden Age)",23
"CZW World Heavyweight Championship",22
"Cirque du Soleil",24
"Georgia State Route 54",24
"Kompas",24
"Academic dishonesty",24
"The Power of Nightmares",24
"Red-figure pottery",24
"Las Vegas Strip",24
"Royal Wiltshire Yeomanry",21
"Todd Rokita",21
"Bommarillu",24
"History of American football",24
"George III of the United Kingdom",24
"Sparks (band)",24
"Arlington Boulevard",16
"Romanization of Japanese",24
"Cyclogenesis",24
"Heartbreaker (Free album)",24
"Kizeme",22
"Campaign history of the Roman military",24
"Donald E. Williams",24
"Jonathan Frakes",24
"Karthago Airlines",24
"Cardiff Canton TMD",21
"Tajikistani ruble",24
"Halton Castle",24
"Dirk Dirksen",23
"Pennsylvania Route 39",24
"Stars!",24
"Economy of Mexico",24
"Woolly Bugger",24
"Fritz the Cat (film)",24
"Blaise Pascal",24
"Gadsden, Alabama",24
"USS MacKenzie (DD-614)",23
"Grant Davies",21
"Hazel Hannan",21
"Picts",24
"Evolutionarily stable strategy",24
"Second Sudanese Civil War",24
"Margaret Avery",24
"Dantian",24
"Aberystwyth railway station",22
"Bruno de Heceta",22
"Interlingua",24
"Metropolitan Atlanta Rapid Transit Authority",24
"Shamrock Hotel",24
"Municipalities of Lithuania",23
"Endoscopic foreign body retrieval",24
"Charles Grant (British East India Company)",23
"Strider SMF",24
"Fort Bayard (Washington, D.C.)",17
"Asterix and the Laurel Wreath",24
"Heinz Kohut",22
"Light-emitting diode",24
"Cowboy Bebop",24
"Red vs. Blue",24
"Mars",24
"Kabbalistic astrology",24
"Evolutionary history of life",18
"Madame Satã (film)",22
"Lake Charles, Louisiana",24
"Aftermath of the Polish-Soviet War",4
"Mona Best",22
"Biff Malibu",20
"Soap opera",24
"Classic Rock (magazine)",24
"Pickett's Charge",24
"Mars Scout Program",24
"Michael Oakeshott",24
"Fly fishing",24
"Gideon Mantell",24
"Frank Gaul",13
"Latter Days",24
"Protura",24
"Tom DeLay",24
"Hanseatic League",24
"Western honey bee",24
"Hawaiian architecture",24
"Electoral district of Burwood (New South Wales)",21
"Leopold von Ranke",24
"Phosphoryl chloride",24
"Dieterich Buxtehude",24
"Matsuo Bashō",24
"Phosphorus tribromide",24
"Big Bang",24
"Dark Danny",24
"Ancylus ashangiensis",17
"André Derain",24
"Oregon Attorney General",23
"Vitamin",24
"Enter the Wu-Tang (36 Chambers)",24
"Summer of '42",24
"Alexandros Panagoulis",24
"Greeley Estates",24
"Bicycle and motorcycle dynamics",24
"Arsenal Stadium",24
"Jerzy Engel",24
"Raiders of the Lost Ark",24
"Boden Fortress",24
"E. L. Henry",24
"Timeline of discovery of Solar System planets and their moons",24
"Cully, Portland, Oregon",17
"Pornography in the United States",24
"Autism",24
"Chunchucmil",24
"Thompson Capper",18
"Battle of Waddams Grove",18
"Silverpit crater",24
"Spider bite",24
"Nature study",23
"Chudleigh Knighton",24
"My Musical",24
"Death In June",7
"John Babcock",22
"Cadair Idris",24
"Blue Ridge, Alberta",17
"John Canfield Spencer",23
"Golden ratio",24
"Provinces of Thailand",24
"Gala RFC",22
"Tasman Bridge",24
"Scorpion",24
"Night of the Ghouls",24
"Renal tubular acidosis",24
"Eurovision Song Contest",24
"Characters of StarCraft",18
"Cerebral hypoxia",24
"Bruce Hornsby",24
"United States ten-dollar bill",24
"Haunting the Chapel",22
"Option (aircraft purchasing)",13
"Alphonso, Earl of Chester",24
"Ballard Carnegie Library",15
"Gail Jones",23
"Humberto Coelho",24
"The Oprah Winfrey Show",24
"Talmo, New South Wales",23
"Anachrophobia",24
"Industrial Revolution",24
"USS Heliotrope (1863)",15
"Procellariiformes",23
"K-os",24
"Sinistar",24
"Karl von Auwers",15
"Hurricane Paul (2006)",23
"Infrared",24
"Return of Saturn",24
"Delimiter",24
"Grand Crimean Central Railway",23
"Dane Krager",11
"Holy (short story)",15
