,title,timestamp,access,category,pageid,raw_category,revision.anon,revision.comment,revision.commenthidden,revision.parentid,revision.revid,revision.user,Section count,Subsection count,Complete URL link count,Complete URL link count per section,Complete URL link count per length,Relative URL link count,Relative URL link count per section,Relative URL link count per length,Same page link count,Same page link count per section,Same page link count per length,Mean section size,Mean subsection size,Largest section size,Shortest section size,Standard deviation of the section size,Images count,Images per length,Images per section,Images per subsection,Phrase count,Large phrase count,Paragraph count,Large paragraph count,Largest phrase size,Large phrase rate,Short phrase rate,Char Count,Word Count,Articles count,Auxiliary verbs count,Coordination conjunctions count,Correlative conjunctions count,Indefinite pronouns count,Interrogative pronouns count,Prepositions count,Pronouns count,Relative pronoums count,Subordinating conjunctions count,To be verbs count,Sentences starting with articles,Sentences starting with auxiliary verbs,Sentences starting with coordination conjunctions,Sentences starting with correlative conjunctions,Sentences starting with indefinite pronouns,Sentences starting with interrogative pronouns,Sentences starting with prepositions,Sentences starting with pronouns,Sentences starting with relative pronoums,Sentences starting with subordinating conjunctions,Sentences starting with to be verbs,ARI readability feature,Coleman-Liau readability feature,Flesch Reading Ease Readability Feature,Flesch Kincaid Readability Feature,Gunning Fog Index readability feature,Lasbarhetsindex readability feature,SMOG Grading readability feature
19,"1,3-Butadiene",2008-12-09T21:43:01Z,2009-01-01T00:00:00Z,b,,"[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,related compounds should have a wiki article,,256733594,256913977,V8rik,8,1,3,0.375,0.00042105263157894734,79,9.875,0.011087719298245613,24,3.0,0.0033684210526315787,830.375,1157.0,2216,49,821.0440979108771,2,0.0002807017543859649,0.25,0.25,84,51,72,1,165,0.3690476190476191,0.5476190476190477,7125,1128,79,24,39,1,11,4,154,20,9,27,17,6,0,1,0,2,2,6,4,2,8,0,9.307769756838908,11.924867021276595,32.18000000000001,12.106894630192508,13.314690982776089,33.286727456940234,36.58571124749333
20,"1,3-Butadiene",2008-11-03T15:00:27Z,2008-12-01T00:00:00Z,b,,"[('class=B|', 'B', '', '')]",,Reverted edits by [[Special:Contributions/213.6.94.75|213.6.94.75]] to last version by Epop fr ([[WP:HG|HG]]),,249411771,249411792,Smalljim,8,1,3,0.375,0.00042105263157894734,79,9.875,0.011087719298245613,24,3.0,0.0033684210526315787,830.375,1157.0,2216,49,821.0440979108771,2,0.0002807017543859649,0.25,0.25,84,51,72,1,165,0.3690476190476191,0.5476190476190477,7125,1128,79,24,39,1,11,4,154,20,9,27,17,6,0,1,0,2,2,6,4,2,8,0,9.307769756838908,11.924867021276595,32.18000000000001,12.106894630192508,13.314690982776089,33.286727456940234,36.58571124749333
21,"1,3-Butadiene",2008-10-08T20:43:02Z,2008-11-01T00:00:00Z,b,,"[('class=B|', 'B', '', '')]",,- fchm,,236301799,243984079,Epop fr,8,1,3,0.375,0.00042105263157894734,79,9.875,0.011087719298245613,24,3.0,0.0033684210526315787,830.375,1157.0,2216,49,821.0440979108771,2,0.0002807017543859649,0.25,0.25,84,51,72,1,165,0.3690476190476191,0.5476190476190477,7125,1128,79,24,39,1,11,4,154,20,9,27,17,6,0,1,0,2,2,6,4,2,8,0,9.307769756838908,11.924867021276595,32.18000000000001,12.106894630192508,13.314690982776089,33.286727456940234,36.58571124749333
22,"1,3-Butadiene",2008-09-04T19:51:08Z,2008-10-01T00:00:00Z,b,,"[('class=B|', 'B', '', '')]",,,,233170974,236301799,Epop fr,8,1,3,0.375,0.00042105263157894734,79,9.875,0.011087719298245613,24,3.0,0.0033684210526315787,830.375,1157.0,2216,49,821.0440979108771,2,0.0002807017543859649,0.25,0.25,84,51,72,1,165,0.3690476190476191,0.5476190476190477,7125,1128,79,24,39,1,11,4,154,20,9,27,17,6,0,1,0,2,2,6,4,2,8,0,9.307769756838908,11.924867021276595,32.18000000000001,12.106894630192508,13.314690982776089,33.286727456940234,36.58571124749333
23,"1,3-Butadiene",2008-08-20T19:39:36Z,2008-09-01T00:00:00Z,b,,"[('class=B|', 'B', '', '')]",,"/* Safety */ data are plural, style",,230579563,233170974,86.166.233.76,8,1,3,0.375,0.00042105263157894734,79,9.875,0.011087719298245613,24,3.0,0.0033684210526315787,830.375,1157.0,2216,49,821.0440979108771,2,0.0002807017543859649,0.25,0.25,84,51,72,1,165,0.3690476190476191,0.5476190476190477,7125,1128,79,24,39,1,11,4,154,20,9,27,17,6,0,1,0,2,2,6,4,2,8,0,9.307769756838908,11.924867021276595,32.18000000000001,12.106894630192508,13.314690982776089,33.286727456940234,36.58571124749333
24,"1,3-Butadiene",2008-06-30T08:22:50Z,2008-08-01T00:00:00Z,b,,"[('class=B|', 'B', '', '')]",,Reverted edits by [[Special:Contributions/145.19.1.220|145.19.1.220]] to last version by Rickjpelleg (using [[WP:HG|Huggle]]),,222618863,222618879,Epbr123,8,1,3,0.375,0.0004209344745334643,79,9.875,0.011084607829381228,24,3.0,0.0033674757962677145,830.625,1157.0,2216,49,821.3807082328772,2,0.0002806229830223095,0.25,0.25,84,51,72,1,165,0.3690476190476191,0.5476190476190477,7127,1128,79,24,39,1,11,4,154,20,9,27,16,6,0,1,0,2,2,6,4,2,8,0,9.316120820668694,11.935274822695039,32.10500000000002,12.117355623100305,13.314690982776089,33.286727456940234,36.58571124749333
25,"1,3-Butadiene",2008-06-30T08:22:50Z,2008-07-01T00:00:00Z,b,,"[('class=B|', 'B', '', '')]",,Reverted edits by [[Special:Contributions/145.19.1.220|145.19.1.220]] to last version by Rickjpelleg (using [[WP:HG|Huggle]]),,222618863,222618879,Epbr123,8,1,3,0.375,0.0004209344745334643,79,9.875,0.011084607829381228,24,3.0,0.0033674757962677145,830.625,1157.0,2216,49,821.3807082328772,2,0.0002806229830223095,0.25,0.25,84,51,72,1,165,0.3690476190476191,0.5476190476190477,7127,1128,79,24,39,1,11,4,154,20,9,27,16,6,0,1,0,2,2,6,4,2,8,0,9.316120820668694,11.935274822695039,32.10500000000002,12.117355623100305,13.314690982776089,33.286727456940234,36.58571124749333
26,"1,3-Butadiene",2008-05-28T22:37:34Z,2008-06-01T00:00:00Z,b,,"[('class=B|', 'B', '', '')]",,,,215557916,215605019,99.247.62.9,8,1,3,0.375,0.0004209344745334643,79,9.875,0.011084607829381228,24,3.0,0.0033674757962677145,830.625,1157.0,2216,49,821.3807082328772,2,0.0002806229830223095,0.25,0.25,84,51,72,1,165,0.3690476190476191,0.5476190476190477,7127,1128,79,24,39,1,11,4,154,20,9,27,16,6,0,1,0,2,2,6,4,2,8,0,9.316120820668694,11.935274822695039,32.10500000000002,12.117355623100305,13.314690982776089,33.286727456940234,36.58571124749333
27,"1,3-Butadiene",2008-03-07T21:53:41Z,2008-05-01T00:00:00Z,b,,"[('class=B|', 'B', '', '')]",,rv v,,196617300,196623196,148.177.1.218,8,1,1,0.125,0.0001409046075806679,79,9.875,0.011131463998872763,20,2.5,0.0028180921516133576,826.875,1157.0,2216,49,820.8961022652536,2,0.0002818092151613358,0.25,0.25,83,51,72,1,164,0.3734939759036144,0.5421686746987951,7097,1120,79,24,39,1,11,4,154,20,9,27,16,7,0,1,0,2,2,6,4,2,8,0,9.427889737521511,12.04449107142857,31.718793029259896,12.187472030981073,13.397590361445785,33.49397590361445,36.46640106136302
28,"1,3-Butadiene",2008-03-07T21:53:41Z,2008-04-01T00:00:00Z,b,,"[('class=B|', 'B', '', '')]",,rv v,,196617300,196623196,148.177.1.218,8,1,1,0.125,0.0001409046075806679,79,9.875,0.011131463998872763,20,2.5,0.0028180921516133576,826.875,1157.0,2216,49,820.8961022652536,2,0.0002818092151613358,0.25,0.25,83,51,72,1,164,0.3734939759036144,0.5421686746987951,7097,1120,79,24,39,1,11,4,154,20,9,27,16,7,0,1,0,2,2,6,4,2,8,0,9.427889737521511,12.04449107142857,31.718793029259896,12.187472030981073,13.397590361445785,33.49397590361445,36.46640106136302
29,"1,3-Butadiene",2008-02-18T10:06:12Z,2008-03-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,+de interwiki,,192015204,192274129,Oxymoron83,8,1,1,0.125,0.0001409046075806679,79,9.875,0.011131463998872763,20,2.5,0.0028180921516133576,826.875,1157.0,2216,49,820.8961022652536,2,0.0002818092151613358,0.25,0.25,83,51,72,1,164,0.3734939759036144,0.5421686746987951,7097,1120,79,24,39,1,11,4,154,20,9,27,16,7,0,1,0,2,2,6,4,2,8,0,9.427889737521511,12.04449107142857,31.718793029259896,12.187472030981073,13.397590361445785,33.49397590361445,36.46640106136302
30,"1,3-Butadiene",2008-01-12T09:03:44Z,2008-02-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,robot  Adding: [[uk:Бутадієн]],,181504594,183809058,Phe-bot,8,1,1,0.125,0.00015313935681470137,79,9.875,0.01209800918836141,20,2.5,0.003062787136294028,756.0,1157.0,2216,49,746.6888814722539,2,0.00030627871362940286,0.25,0.25,78,46,70,0,162,0.3461538461538461,0.5641025641025641,6530,1038,70,20,36,1,11,4,146,19,9,23,14,6,0,1,0,2,2,5,4,2,7,0,9.128701645175632,11.757013487475914,32.68549577590039,12.006358381502896,13.299955535793686,33.24988883948421,35.218007387174026
31,"1,3-Butadiene",2007-12-28T05:28:09Z,2008-01-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,Reverted edits by [[Special:Contributions/125.60.241.43|125.60.241.43]] ([[User talk:125.60.241.43|talk]]) to last version by OKBot,,180559926,180559997,Kingturtle,8,1,1,0.125,0.00015313935681470137,79,9.875,0.01209800918836141,20,2.5,0.003062787136294028,756.0,1157.0,2216,49,746.6888814722539,2,0.00030627871362940286,0.25,0.25,78,46,70,0,162,0.3461538461538461,0.5641025641025641,6530,1038,70,20,36,1,11,4,146,19,9,23,14,6,0,1,0,2,2,5,4,2,7,0,9.128701645175632,11.757013487475914,32.68549577590039,12.006358381502896,13.299955535793686,33.24988883948421,35.218007387174026
32,"1,3-Butadiene",2007-11-24T17:49:49Z,2007-12-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,/* References */,,171286475,173518006,62.78.138.39,8,1,1,0.125,0.00015313935681470137,79,9.875,0.01209800918836141,20,2.5,0.003062787136294028,756.0,1157.0,2216,49,746.6888814722539,2,0.00030627871362940286,0.25,0.25,78,46,70,0,162,0.3461538461538461,0.5641025641025641,6530,1038,70,20,36,1,11,4,146,19,9,23,14,6,0,1,0,2,2,5,4,2,7,0,9.128701645175632,11.757013487475914,32.68549577590039,12.006358381502896,13.299955535793686,33.24988883948421,35.218007387174026
33,"1,3-Butadiene",2007-09-24T15:17:45Z,2007-11-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,chemicals pages cleanup per [[User:Beetstra/Chemicals]]  using [[Project:AutoWikiBrowser|AWB]],,158286218,160030340,Beetstra,8,1,1,0.125,0.00015313935681470137,79,9.875,0.01209800918836141,20,2.5,0.003062787136294028,756.0,1157.0,2216,49,746.6888814722539,2,0.00030627871362940286,0.25,0.25,78,46,70,0,162,0.3461538461538461,0.5641025641025641,6530,1038,70,20,36,1,11,4,146,19,9,23,14,6,0,1,0,2,2,5,4,2,7,0,9.128701645175632,11.757013487475914,32.68549577590039,12.006358381502896,13.299955535793686,33.24988883948421,35.218007387174026
34,"1,3-Butadiene",2007-09-24T15:17:45Z,2007-10-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,chemicals pages cleanup per [[User:Beetstra/Chemicals]]  using [[Project:AutoWikiBrowser|AWB]],,158286218,160030340,Beetstra,8,1,1,0.125,0.00015313935681470137,79,9.875,0.01209800918836141,20,2.5,0.003062787136294028,756.0,1157.0,2216,49,746.6888814722539,2,0.00030627871362940286,0.25,0.25,78,46,70,0,162,0.3461538461538461,0.5641025641025641,6530,1038,70,20,36,1,11,4,146,19,9,23,14,6,0,1,0,2,2,5,4,2,7,0,9.128701645175632,11.757013487475914,32.68549577590039,12.006358381502896,13.299955535793686,33.24988883948421,35.218007387174026
35,"1,3-Butadiene",2007-08-28T03:34:36Z,2007-09-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,/* See also */,,153927658,154095059,Jrockley,8,1,1,0.125,0.00013199577613516366,120,15.0,0.01583949313621964,20,2.5,0.002639915522703273,756.25,1157.0,2216,50,746.6436805560505,4,0.0005279831045406547,0.5,0.5,87,52,162,2,214,0.3678160919540229,0.5862068965517241,7576,1212,70,20,41,1,12,5,151,20,10,25,15,6,0,1,0,2,2,5,4,2,7,0,9.05276971662683,11.373407590759074,31.033613861386186,12.39161829976101,13.328189370661207,33.32047342665302,37.813790371058424
36,"1,3-Butadiene",2007-07-09T13:38:44Z,2007-08-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,Removed {{ChemicalSources}} as obsolete,,129377167,143494261,Chem-awb,8,1,1,0.125,0.00013283740701381508,118,14.75,0.01567481402763018,20,2.5,0.002656748140276302,750.25,1157.0,2216,19,753.138338648921,4,0.0005313496280552603,0.5,0.5,87,52,160,2,214,0.3678160919540229,0.5862068965517241,7528,1208,70,20,41,1,12,5,151,20,10,25,15,6,0,1,0,2,2,5,4,2,7,0,8.936063503844101,11.249577814569538,31.66550772626934,12.292059831011649,13.203029611022306,33.00757402755576,37.75629439396553
37,"1,3-Butadiene",2007-05-08T23:19:35Z,2007-07-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,robot  Adding: [[fr:Butadiène]],,128833154,129377167,VVVBot,8,1,1,0.125,0.00013252054068380598,118,14.75,0.015637423800689106,20,2.5,0.0026504108136761197,752.5,1157.0,2216,19,750.7706516830368,4,0.0005300821627352238,0.5,0.5,87,52,160,1,214,0.3678160919540229,0.5862068965517241,7546,1209,70,20,41,1,12,5,151,20,10,25,15,6,0,1,0,2,2,5,4,2,7,0,8.980881321126036,11.300033085194375,31.22727047146404,12.356040614928277,13.234385784775107,33.08596446193776,37.77067730142742
38,"1,3-Butadiene",2007-05-08T23:19:35Z,2007-06-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,robot  Adding: [[fr:Butadiène]],,128833154,129377167,VVVBot,8,1,1,0.125,0.00013252054068380598,118,14.75,0.015637423800689106,20,2.5,0.0026504108136761197,752.5,1157.0,2216,19,750.7706516830368,4,0.0005300821627352238,0.5,0.5,87,52,160,1,214,0.3678160919540229,0.5862068965517241,7546,1209,70,20,41,1,12,5,151,20,10,25,15,6,0,1,0,2,2,5,4,2,7,0,8.980881321126036,11.300033085194375,31.22727047146404,12.356040614928277,13.234385784775107,33.08596446193776,37.77067730142742
39,"1,3-Butadiene",2007-04-23T08:19:52Z,2007-05-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,/* From ethanol */,,124410174,125109527,Nonagonal Spider,8,1,1,0.125,0.00013252054068380598,117,14.625,0.0155049032600053,20,2.5,0.0026504108136761197,752.5,1157.0,2216,19,750.7706516830368,3,0.000397561622051418,0.375,0.375,87,52,159,1,214,0.3678160919540229,0.5862068965517241,7546,1209,70,20,41,1,12,5,151,20,10,25,15,6,0,1,0,2,2,5,4,2,7,0,8.980881321126036,11.300033085194375,31.22727047146404,12.356040614928277,13.234385784775107,33.08596446193776,37.77067730142742
40,"1,3-Butadiene",2007-03-04T15:59:11Z,2007-04-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,,,111716741,112579198,83.249.111.74,8,1,1,0.125,0.00013257324671881208,117,14.625,0.015511069866101018,20,2.5,0.002651464934376243,752.125,1154.0,2213,19,749.9355091320473,3,0.00039771974015643646,0.375,0.375,87,52,157,2,214,0.3678160919540229,0.5862068965517241,7543,1209,70,20,41,1,12,5,151,20,10,25,15,6,0,1,0,2,2,5,4,2,7,0,8.980881321126036,11.300033085194375,31.22727047146404,12.356040614928277,13.234385784775107,33.08596446193776,37.77067730142742
41,"1,3-Butadiene",2007-02-24T19:49:21Z,2007-03-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,/* From ethanol */,,108501822,110645036,137.122.50.177,8,1,1,0.125,0.00013113034356150013,117,14.625,0.015342250196695516,20,2.5,0.0026226068712300018,762.5,1237.0,2296,19,773.245109910176,3,0.0003933910306845004,0.375,0.375,88,53,157,2,205,0.3636363636363637,0.5795454545454546,7626,1221,70,20,42,1,12,5,153,20,10,25,16,6,0,1,0,2,2,6,4,2,7,0,8.994207616707618,11.326764946764946,30.965634213759213,12.387179565929568,13.2486076986077,33.12151924651925,37.942810419312295
42,"1,3-Butadiene",2007-01-21T03:20:26Z,2007-02-01T00:00:00Z,a,,"[('class=A|', 'A', '', '')]",,rv cut-and-paste copyvio,,102137219,102138921,Isopropyl,8,1,1,0.125,0.00013257324671881208,117,14.625,0.015511069866101018,20,2.5,0.002651464934376243,752.125,1154.0,2213,19,749.9355091320473,3,0.00039771974015643646,0.375,0.375,87,52,157,2,214,0.3678160919540229,0.5862068965517241,7543,1209,70,20,41,1,12,5,151,20,10,25,15,6,0,1,0,2,2,5,4,2,7,0,8.980881321126036,11.300033085194375,31.22727047146404,12.356040614928277,13.234385784775107,33.08596446193776,37.77067730142742
111,1300-1400 in fashion,2008-12-11T09:47:22Z,2009-01-01T00:00:00Z,a,,"[('class=A}', '', 'A', ''), ('class=a|', 'a', '', ''), ('class=""wikitable""\n', '', '', '""wikitable""'), ('class=""wikitable""\n', '', '', '""wikitable""')]",,/* External links */,,257247457,257247495,L clausewitz,10,9,15,1.5,0.000640970857191693,129,12.9,0.00551234937184856,64,6.4,0.002734808990684557,2242.2,1869.888888888889,7839,13,2803.1990376076483,13,0.0005555080762328006,1.3,1.3,215,166,274,15,343,0.3488372093023256,0.5488372093023256,23402,3900,355,48,228,5,43,8,473,117,34,42,105,18,0,3,0,1,1,11,19,1,3,0,10.10439051878354,10.55415641025641,51.84860286225404,10.533854502087065,10.978890876565297,27.44722719141324,65.44997998398398
112,1300-1400 in fashion,2008-11-28T09:00:09Z,2008-12-01T00:00:00Z,a,,"[('class=A}', '', 'A', ''), ('class=a|', 'a', '', ''), ('class=""wikitable""\n', '', '', '""wikitable""'), ('class=""wikitable""\n', '', '', '""wikitable""')]",,/* Northern and western Europe */,,254575118,254575158,Jeanne boleyn,10,9,14,1.4,0.0006043078516855872,129,12.9,0.005568265204817197,63,6.3,0.0027193853325851425,2218.7,1862.555555555556,7839,13,2807.373705480306,13,0.0005611430051366168,1.3,1.3,215,166,273,15,343,0.3395348837209302,0.5581395348837209,23167,3865,352,47,226,5,43,8,469,116,34,42,104,18,0,3,0,1,1,11,19,1,3,0,9.992359156412649,10.501208279430788,52.2436111194681,10.438317037215324,10.864695087096486,27.161737717741214,65.16912416947821
113,1300-1400 in fashion,2008-10-03T13:56:39Z,2008-11-01T00:00:00Z,a,,"[('class=A}', '', 'A', ''), ('class=a|', 'a', '', ''), ('class=""wikitable""\n', '', '', '""wikitable""'), ('class=""wikitable""\n', '', '', '""wikitable""')]",,/* Fabrics and furs */ changed Queen Abigail(?) to the correct Mary de Bohun,,242515286,242745989,Jeanne boleyn,10,9,14,1.4,0.0006054315862307559,129,12.9,0.005578619615983394,63,6.3,0.0027244421380384016,2214.4,1857.7777777777771,7839,13,2802.019716006454,13,0.0005621864729285588,1.3,1.3,215,166,273,15,333,0.3348837209302325,0.5581395348837209,23124,3857,352,47,226,5,43,8,467,116,34,42,104,18,0,3,0,1,1,11,19,1,3,0,9.978745922544931,10.50401607466943,52.21791992812828,10.432656613466305,10.857431791186066,27.143579477965158,65.10475022089696
114,1300-1400 in fashion,2008-09-26T14:42:15Z,2008-10-01T00:00:00Z,a,,"[('class=A}', '', 'A', ''), ('class=a|', 'a', '', ''), ('class=""wikitable""\n', '', '', '""wikitable""'), ('class=""wikitable""\n', '', '', '""wikitable""')]",,Reverted edits by [[Special:Contributions/216.81.108.10|216.81.108.10]] ([[User talk:216.81.108.10|talk]]) to last version by PKM,,241130323,241134020,Johnbod,10,9,14,1.4,0.0006054315862307559,129,12.9,0.005578619615983394,63,6.3,0.0027244421380384016,2214.4,1857.7777777777771,7839,13,2802.019716006454,13,0.0005621864729285588,1.3,1.3,215,166,273,15,333,0.3348837209302325,0.5581395348837209,23124,3856,352,47,226,5,43,8,467,116,34,42,104,18,0,3,0,1,1,11,19,1,3,0,9.983458457975487,10.512359958506224,52.20920505645086,10.432716684357814,10.85652610247998,27.141315256199945,65.0966987850401
115,1300-1400 in fashion,2008-06-27T13:31:55Z,2008-09-01T00:00:00Z,a,,"[('class=A}', '', 'A', ''), ('class=a|', 'a', '', ''), ('class=""wikitable""\n', '', '', '""wikitable""'), ('class=""wikitable""\n', '', '', '""wikitable""')]",,Reverted edits by [[Special:Contributions/78.23.97.149|78.23.97.149]] to last version by PKM (using [[WP:HG|Huggle]]),,222076685,222078909,Metagraph,10,9,14,1.4,0.0006070592316364582,128,12.8,0.0055502558321047606,62,6.2,0.002688405168675744,2208.2,1850.888888888889,7839,13,2794.3984365552137,13,0.0005636978579481398,1.3,1.3,215,166,273,15,343,0.3348837209302325,0.5627906976744186,23062,3846,351,47,226,5,43,8,466,116,34,42,104,18,0,3,0,1,1,11,19,1,3,0,9.957306171316617,10.504461778471141,52.29764709937237,10.408826010714849,10.837096107100098,27.092740267750244,65.01612693485461
